source1_entity_id	candidate_entity_ids
S1-714132312	
S1-106407869	
S1-156285671	
S1-689823050	
S1-921369899	
S1-481669221	
S1-909865979	
S1-280204013	
S1-742053041	
S1-913506265	
S1-479574617	
S1-680637447	
S1-870190130	
S1-365170694	
S1-778640743	
S1-378191895	
S1-684974736	
S1-750279127	
S1-209281220	
S1-550154910	
S1-897975128	
S1-704604312	
S1-628750886	
S1-714038427	
S1-426194890	
S1-122385784	
S1-540642140	
S1-123475953	
S1-444801830	
S1-502376041	
S1-594021398	
S1-261170522	
S1-466641145	
S1-99245709	
S1-339015166	
S1-614259237	
S1-385801270	S2-676069227,S3-290413216,S3-873113499
S1-334672926	
S1-717749279	
S1-564662660	
S1-41643447	
S1-581360597	S3-349679455,S3-937791576
S1-946184931	
S1-244940399	
S1-616465752	
S1-762904067	
S1-261476747	
S1-874436225	
S1-816918307	
S1-52153457	
S1-867332501	
S1-969300060	
S1-930501805	
S1-474452362	
S1-802731895	
S1-39733947	
S1-807424751	
S1-269499779	
S1-574528784	
S1-402621048	
S1-684202485	
S1-85238196	
S1-569369299	
S1-559615219	
S1-684318101	
S1-503487168	
S1-967139755	
S1-983819279	
S1-577269922	
S1-87832748	
S1-295346696	S3-839414204
S1-252468250	
S1-781801397	
S1-669434847	
S1-570053103	
S1-736469556	
S1-483126440	
S1-270951405	
S1-520799361	
S1-81033582	
S1-56410032	
S1-518847572	
S1-776267063	
S1-35309228	
S1-493139457	
S1-895087526	
S1-829126727	
S1-457973373	
S1-74852342	
S1-280936763	
S1-999165514	
S1-395055615	
S1-862701045	
S1-674871004	
S1-287307821	
S1-273768056	S2-478128946
S1-323395452	
S1-4144001	
S1-512210875	
S1-143287441	
S1-351656683	
S1-83258310	S2-878037834
S1-126274111	
S1-991875825	
S1-219350089	S2-168132027,S2-450192914,S2-519059543,S2-730294781,S3-331873108
S1-476026008	
S1-595583207	
S1-660977005	
S1-106130112	
S1-383508132	
S1-960747316	
S1-78181547	
S1-44674670	
S1-712639027	
S1-875777939	S2-737499898,S2-806209738,S3-545765346
S1-906720062	
S1-868609391	
S1-842551642	
S1-977549219	
S1-345501851	S2-878037834
S1-465557953	
S1-548433616	
S1-542615632	
S1-396150929	
S1-370806262	
S1-149784022	
S1-208197675	
S1-621024	
